tradetime,open,close,high,low,vol
2010.01.01T00:00:00.000,35.94839312,35.43848026,36.32606619,35.95685966,10732
2010.01.04T00:00:00.000,16.46532349,13.63483727,16.72547197,14.94013984,97555
2010.01.05T00:00:00.000,51.36161579,53.1199233,52.21549663,50.47818131,43992
2010.01.06T00:00:00.000,76.3468558,80.00759845,76.70170876,74.94794151,85283
2010.01.07T00:00:00.000,38.94107961,35.82827103,39.52686503,38.21777667,78837
2010.01.08T00:00:00.000,70.8802545,67.9026975,71.86926458,70.8071745,13317
2010.01.11T00:00:00.000,96.31633849,97.40311714,96.56052966,96.36403808,22958
2010.01.12T00:00:00.000,17.26986056,18.50158566,17.76888074,16.50279774,45621
2010.01.13T00:00:00.000,75.79991571,77.02446806,76.45877976,75.74815565,54886
2010.01.14T00:00:00.000,49.86564142,49.34161483,50.77607861,49.79719545,3132
2010.01.15T00:00:00.000,49.46270655,49.15172086,49.46855453,49.22173086,2275
2010.01.18T00:00:00.000,78.53252692,81.46460022,79.12232563,78.07367976,66491
2010.01.19T00:00:00.000,33.78450221,34.27899019,34.41104129,33.84082118,54535
2010.01.20T00:00:00.000,40.18903049,37.50989437,41.10267082,39.81571301,65014
2010.01.21T00:00:00.000,66.67192655,68.83055754,67.15780803,66.38090451,32506
2010.01.22T00:00:00.000,19.26447945,20.35560524,19.74634895,18.41314757,62394
2010.01.25T00:00:00.000,7.811017428,10.4720235,7.899759022,6.476190876,34228
2010.01.26T00:00:00.000,87.87882482,87.61958276,88.38354008,87.5750025,5586
2010.01.27T00:00:00.000,5.169376591,9.325973541,5.972183065,4.912048368,46074
2010.01.28T00:00:00.000,85.37341473,84.76260643,85.44061512,84.67394049,57810
2010.01.29T00:00:00.000,82.54611914,81.50981499,83.26998686,83.03419728,94331
2010.02.01T00:00:00.000,16.4287885,14.24610724,17.21792509,15.7708061,30180
2010.02.02T00:00:00.000,98.20502631,100.1359025,98.91257807,98.37981743,46760
2010.02.03T00:00:00.000,13.87162991,13.60637459,14.26937533,12.51688878,93466
2010.02.04T00:00:00.000,46.94015854,45.70840704,47.06835295,46.9368192,49232
2010.02.05T00:00:00.000,94.7101912,94.49561124,95.33865471,93.57132038,45398
